id,name,desc,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
220414,娱乐伙伴 掉头跑骑兵,"①：自己战斗阶段开始时才能发动。给这张卡放置1个指示物（最多2个）。
②：这张卡得到这张卡的指示物数量的以下效果。
●1个：1回合1次，对方怪兽的攻击宣言时才能发动。那次攻击无效。
●2个：把这张卡解放才能发动。直到发动后第2次的对方结束阶段，场上的怪兽全部除外。",,,,,,,,,,,,,,,,
242146,破坏城壁的大枪,装备怪兽攻击里侧守备怪兽的场合，装备怪兽的攻击力上升1500。,,,,,,,,,,,,,,,,
255998,疾速战士,主要阶段1才能发动。这个回合这张卡可以直接攻击对方玩家。这个效果发动的回合，这张卡以外的怪兽不能攻击。,直接攻击,,,,,,,,,,,,,,,
259314,甲虫装机的手甲,发动后这张卡变成守备力上升1000的装备卡，给自己场上1只名字带有「甲虫装机」的怪兽装备。装备怪兽不会被对方的卡的效果破坏。,,,,,,,,,,,,,,,,
263926,独法师,"自己场上有怪兽存在的场合，这张卡不能召唤·特殊召唤。
①：这张卡可以从手卡攻击表示特殊召唤。
②：这张卡已在怪兽区域存在的状态，自己场上有这张卡以外的怪兽召唤·反转召唤·特殊召唤的场合发动。这张卡破坏。",,,,,,,,,,,,,,,,
269012,缚神冢,"①：场上的10星以上的怪兽不会成为效果的对象，不会被效果破坏。
②：场上的10星以上的怪兽战斗破坏怪兽送去墓地的场合发动。破坏的怪兽的控制者受到1000伤害。
③：场上的这张卡被效果破坏送去墓地时才能发动。从卡组把1只神属性怪兽加入手卡。",1000伤害,检索,,,,,,,,,,,,,,
269510,天火的牢狱,"①：场上的龙族怪兽的守备力上升300。
②：双方不能把连接标记数量比场上的连接怪兽少的连接怪兽连接召唤，连接怪兽以外的怪兽不能攻击。
③：场上有电子界族连接怪兽2只以上存在的场合，以下效果适用。
●电子界族怪兽发动的效果无效化。
●场上的电子界族怪兽不能攻击，不会成为攻击对象，也不会成为效果的对象。",,,,,,,,,,,,,,,,
276357,灵魂的圆环,"「灵魂的圆环」的①②的效果1回合各能使用1次。
①：这张卡在魔法与陷阱区域存在，自己场上的表侧表示的灵魂怪兽回到自己手卡的场合，以对方场上1张卡为对象才能发动。那张卡破坏。
②：对方怪兽的攻击宣言时把自己墓地1只灵魂怪兽除外才能发动。那次攻击无效，那之后战斗阶段结束。",卡片破坏,攻击无效,,,,,,,,,,,,,,
282886,水精鳞-深渊象鼻鱼兵,这张卡战斗破坏对方怪兽送去墓地时，把手卡1只水属性怪兽丢弃去墓地才能发动。从卡组把1只名字带有「水精鳞」的怪兽表侧守备表示特殊召唤。「水精鳞-深渊象鼻鱼兵」的效果1回合只能使用1次。,特殊召唤,,,,,,,,,,,,,,,
284224,双天将 密迹,"「双天脚之鸿鹄」＋「双天」怪兽×2
这个卡名的③的效果1回合只能使用1次。
①：只要这张卡在怪兽区域存在，自己的「双天」融合怪兽在1回合各有1次不会被战斗破坏。
②：1回合1次，自己主要阶段才能发动。对方场上的魔法·陷阱卡全部回到持有者手卡。
③：自己场上有融合怪兽2只以上存在，对方场上的怪兽的效果发动时才能发动。那只怪兽破坏。",,,,,,,,,,,,,,,,
286392,喷气战士,"「喷气同调士」＋调整以外的怪兽1只以上
「喷气战士」的①②的效果1回合各能使用1次。
①：这张卡同调召唤成功的场合，以对方场上1张卡为对象才能发动。那张卡回到持有者手卡。
②：这张卡在墓地存在的场合，把自己场上1只2星以下的怪兽解放才能发动。这张卡从墓地守备表示特殊召唤。这个效果特殊召唤的这张卡从场上离开的场合除外。",弹回手卡,,,,,,,,,,,,,,,
291414,集心龙,"自己对「集心龙」1回合只能有1次特殊召唤，把这张卡作为同调素材的场合，不是「救世」怪兽的同调召唤不能使用。
①：这张卡的卡名只要在场上·墓地存在当作「救世龙」使用。
②：把这张卡抽到时，把这张卡给对方观看才能发动。这张卡从手卡特殊召唤。自己场上有8星以上的龙族同调怪兽存在的场合，可以再从卡组把1只龙族·1星怪兽特殊召唤。",,是否从卡组把1只龙族·1星怪兽特殊召唤？,,,,,,,,,,,,,,
293542,科技属 狼人,"①：4星以下的怪兽特殊召唤时才能发动。这张卡从手卡特殊召唤。
②：场上的这张卡被破坏送去墓地的回合的结束阶段才能发动。从卡组把「科技属 狼人」以外的1只「科技属」怪兽加入手卡。",特殊召唤,检索,,,,,,,,,,,,,,
295517,传说之都 亚特兰蒂斯,"这个卡名在规则上当作「海」使用。
①：场上的水属性怪兽的攻击力·守备力上升200。
②：只要这张卡在场地区域存在，双方的手卡·场上的水属性怪兽的等级下降1星。",,,,,,,,,,,,,,,,
296499,一族之规,发动时宣言1个种族。那个种族的怪兽不能攻击宣言。每次自己的准备阶段若不把1只怪兽作为祭品这张卡破坏。,是否要解放一只怪兽维持「一族之规」？,,,,,,,,,,,,,,,
303660,电脑增幅器,"「人造人-念力震慑者」才能装备。这张卡的发动和效果不会被无效化。
①：装备怪兽持有的「双方不能把场上的陷阱卡的效果发动，场上的陷阱卡的效果无效化」效果作为「对方不能把场上的陷阱卡的效果发动，对方场上的陷阱卡的效果无效化」适用。
②：这张卡从场上离开时装备怪兽破坏。",,,,,,,,,,,,,,,,
313513,魔法齿车,①：把自己场上3张表侧表示的「古代的机械」卡送去墓地才能发动。从手卡以及卡组各把最多1只「古代的机械巨人」无视召唤条件特殊召唤。那之后，自己场上有「古代的机械巨人」以外的怪兽存在的场合，那些怪兽全部破坏。这个效果的发动后，用自己回合计算的2回合内，自己不能通常召唤。,,,,,,,,,,,,,,,,
327051,绝火的祆现,"这个卡名的①②的效果1回合各能使用1次。
①：以自己墓地1只4星以下的「大贤者」怪兽为对象才能发动。那只怪兽特殊召唤。
②：自己的魔法与陷阱区域的「大贤者」卡被对方的效果破坏的场合，可以作为代替把墓地的这张卡除外。",,,,,,,,,,,,,,,,
336369,薰风松鼠,这张卡被卡的效果破坏送去墓地时，可以从自己卡组把1只5星以上的名字带有「薰风」的怪兽特殊召唤。,特殊召唤,,,,,,,,,,,,,,,
340002,娱乐伙伴 槌子巨象,"①：自己场上有「娱乐伙伴」卡2张以上存在的场合，这张卡可以不用解放作召唤。
②：自己场上没有其他的「娱乐伙伴」卡存在的场合，这张卡不能攻击。
③：这张卡的攻击宣言时才能发动。对方场上的魔法·陷阱卡全部回到持有者手卡。",不用解放召唤,,,,,,,,,,,,,,,
359563,入魔梦魇骑士,"暗属性4星怪兽×2
对方对怪兽的特殊召唤成功时，可以把这张卡1个超量素材取除，那些特殊召唤的怪兽变成里侧守备表示。",变成里侧守备表示,,,,,,,,,,,,,,,
365213,光来的奇迹,"①：作为这张卡的发动时的效果处理，从手卡·卡组选1只龙族·1星怪兽在卡组最上面放置。
②：双方不能让场上的「星尘龙」以及有那个卡名记述的同调怪兽回到额外卡组。
③：同调怪兽特殊召唤的场合才能发动。从以下效果选1个适用。这个回合，自己的「光来的奇迹」的效果不能有相同效果适用。
●自己从卡组抽1张。
●从手卡把1只调整特殊召唤。",,自己从卡组抽1张,从手卡把1只调整特殊召唤,,,,,,,,,,,,,
368382,雾动机龙·腕龙,"←6 【灵摆】 6→
①：只在这张卡在灵摆区域存在才有1次，可以把以这张卡以外的自己场上的「雾动机龙」卡为对象发动的效果无效。那之后，这张卡破坏。
【怪兽效果】
①：自己的怪兽区域没有「雾动机龙·腕龙」存在，场上的攻击力最高的怪兽在对方场上存在的场合，这张卡可以从手卡特殊召唤。",是否使用「雾动机龙·腕龙」的效果？,,,,,,,,,,,,,,,
373085,赞美火,"这个卡名的②的效果1回合只能使用1次。
①：这张卡召唤成功时才能发动。把对方场上的卡数量的卡从对方卡组上面送去墓地。
②：这张卡特殊召唤成功的场合才能发动。把对方场上的卡数量的卡从自己卡组上面送去墓地。",,,,,,,,,,,,,,,,
387282,我我我妹妹,"这个卡名的②的效果1回合只能使用1次。
①：这张卡召唤成功时才能发动。从卡组把1张「我我我」魔法·陷阱卡加入手卡。
②：以这张卡以外的自己场上1只「我我我」怪兽为对象才能发动。那只怪兽和这张卡直到回合结束时变成那2只的等级合计的等级。",检索,等级变化,,,,,,,,,,,,,,
402568,电气长颈鹿,这张卡可以直接攻击对方玩家。这张卡直接攻击给与对方基本分战斗伤害时，对方直到这个回合的结束阶段时不能把魔法·陷阱·效果怪兽的效果发动。,对方发动限制,,,,,,,,,,,,,,,
403847,联合军,自己场上的战士族怪兽的攻击力上升自己场上的战士族·魔法师族怪兽数量×200的数值。,,,,,,,,,,,,,,,,
410904,凭依觉醒-螺旋龙,"这个卡名的②③的效果1回合各能使用1次。
①：这张卡可以把自己场上的表侧表示的1只魔法师族怪兽和1只4星以下的风属性怪兽送去墓地，从手卡·卡组特殊召唤。
②：这张卡的①的方法特殊召唤成功时才能发动。选对方场上1张卡回到持有者手卡。
③：这张卡从场上送去墓地的场合才能发动。从卡组把1张「风灵术」卡或者「凭依」魔法·陷阱卡加入手卡。",,,,,,,,,,,,,,,,
423585,召唤僧,"①：这张卡召唤·反转召唤成功的场合发动。这张卡变成守备表示。
②：只要这张卡在怪兽区域存在，这张卡不能解放。
③：1回合1次，从手卡丢弃1张魔法卡才能发动。从卡组把1只4星怪兽特殊召唤。这个效果特殊召唤的怪兽在这个回合不能攻击。",变成守备表示,特殊召唤,,,,,,,,,,,,,,
423705,铁骑士 基亚·弗里德,①：这张卡有装备卡被装备的场合发动。那些装备卡破坏。,装备卡破坏,,,,,,,,,,,,,,,
425934,强欲哥布林,只要这张卡在自己场上以表侧表示存在，双方都不能发动「通过丢弃手卡来发动」的效果。,,,,,,,,,,,,,,,,
440556,龙神鲨,"水属性4星怪兽×2
①：1回合1次，把这张卡1个超量素材取除才能发动。从额外卡组把1只3阶以下的水属性超量怪兽特殊召唤。这个回合，这张卡不能攻击。",特殊召唤,,,,,,,,,,,,,,,
458748,法之圣典,"「法之圣典」在1回合只能发动1张。
①：把自己场上1只「召唤兽」怪兽解放才能发动。原本属性和解放的怪兽不同的1只「召唤兽」怪兽当作融合召唤从额外卡组特殊召唤。",,,,,,,,,,,,,,,,
464362,魔玩具·剪刀虎,"「锋利小鬼·剪刀」＋「毛绒动物」怪兽1只以上
①：「魔玩具·剪刀虎」在自己场上只能有1只表侧表示存在。
②：这张卡融合召唤成功时，以最多有作为这张卡的融合素材的怪兽数量的场上的卡为对象才能发动。那些卡破坏。
③：只要这张卡在怪兽区域存在，自己场上的「魔玩具」怪兽的攻击力上升自己场上的「毛绒动物」怪兽以及「魔玩具」怪兽数量×300。",,,,,,,,,,,,,,,,
473469,猛吹雪,自己的陷阱卡被对方控制的卡的效果破坏，从场地送去墓地时才能发动。场上的1张魔法·陷阱卡破坏。,,,,,,,,,,,,,,,,
487395,水精灵,据说是在古代南极大陆的永久冻土拥有了生命的冰水精灵。能够渗透进各种物质里。,,,,,,,,,,,,,,,,
494922,超重荒神 须佐之男-O,"机械族调整＋调整以外的「超重武者」怪兽1只以上
这张卡在规则上也当作「超重武者」卡使用。
①：这张卡可以用表侧守备表示的状态作出攻击。那个场合，这张卡用守备力当作攻击力使用进行伤害计算。
②：自己墓地没有魔法·陷阱卡存在的场合，1回合1次，以对方墓地1张魔法·陷阱卡为对象才能发动。那张卡在自己场上盖放。这个效果盖放的卡从场上离开的场合除外。这个效果在对方回合也能发动。",,,,,,,,,,,,,,,,
525110,迷你番茄小子,这张卡被战斗破坏送去墓地时，可以从自己卡组把最多2只名字带有「番茄小子」的怪兽特殊召唤。这个效果特殊召唤的怪兽这个回合不能作为同调素材。,特殊召唤,是否还要特殊召唤？,,,,,,,,,,,,,,
545781,妖龙 摩诃摩,"①：对方回合，自己或者对方受到战斗伤害时才能发动。这张卡从手卡特殊召唤。那之后，从以下效果选1个适用。
●自己基本分回复那次战斗伤害的数值。
●给与对方那次战斗伤害数值的伤害。",回复基本分,给与伤害,,,,,,,,,,,,,,
549481,硬毛鼠,毛像硬皮一样聚集在一起，守备力非常的高。,,,,,,,,,,,,,,,,
564541,民艺龙,龙族怪兽上级召唤的场合，这张卡可以作为2只的数量解放。自己的准备阶段时这张卡在墓地存在，自己场上没有怪兽存在的场合，可以把这张卡表侧攻击表示特殊召唤。这个效果在自己墓地有龙族以外的怪兽存在的场合不能发动。这个效果特殊召唤的这张卡从场上离开的场合从游戏中除外。,特殊召唤,,,,,,,,,,,,,,,
575512,PSY骨架回路,"①：自己场上有「PSY骨架」怪兽特殊召唤的场合才能发动。只用自己场上的「PSY骨架」怪兽为同调素材作同调召唤。
②：自己的「PSY骨架」怪兽和对方怪兽进行战斗的伤害步骤开始时，把手卡1只「PSY骨架」怪兽丢弃才能发动。那只进行战斗的自己怪兽的攻击力直到回合结束时上升因为这个效果发动而丢弃的怪兽的攻击力数值。",用自己场上的「PSY骨架」怪兽为同调素材作同调召唤,攻击上升,,,,,,,,,,,,,,
581014,大薰风骑士 翠玉,"4星怪兽×2
①：1回合1次，可以把这张卡1个超量素材取除，从以下效果选择1个发动。
●以自己墓地3只怪兽为对象才能发动。那3只怪兽加入卡组洗切。那之后，自己从卡组抽1张。
●以效果怪兽以外的自己墓地1只怪兽为对象才能发动。那只怪兽特殊召唤。",选择一个效果发动,回收并抽卡,特殊召唤,,,,,,,,,,,,,
595626,安卡栗子球,"这个卡名的①②的效果1回合各能使用1次。
①：对方怪兽的攻击宣言时把这张卡从手卡丢弃，以这张卡以外的自己或者对方的墓地1只怪兽为对象才能发动。那只怪兽在自己场上特殊召唤。这个效果特殊召唤的怪兽在结束阶段送去墓地。
②：这张卡被战斗·效果破坏送去墓地的场合才能发动。这个回合的结束阶段，从自己的卡组·墓地选1张「死者苏生」加入手卡。",将怪兽特殊召唤,检索「死者苏生」,,,,,,,,,,,,,,
596051,毒蛇之牙,选择场上表侧表示存在的1只怪兽发动。选择的怪兽的守备力直到结束阶段时下降500。,,,,,,,,,,,,,,,,
598988,罪 虹龙,"这张卡不能通常召唤。从手卡·卡组把1只「究极宝玉神 虹龙」除外的场合才能特殊召唤。
①：「罪」怪兽在场上只能有1只表侧表示存在。
②：只要这张卡在怪兽区域存在，其他的自己怪兽不能攻击宣言。
③：没有场地魔法卡表侧表示存在的场合这张卡破坏。",,,,,,,,,,,,,,,,
601193,彼岸的诗人 维吉尔,"调整＋调整以外的怪兽1只以上
「彼岸的诗人 维吉尔」的③的效果1回合只能使用1次。
①：「彼岸的诗人 维吉尔」在自己场上只能有1只表侧表示存在。
②：1回合1次，从手卡丢弃1张「彼岸」卡，以对方的场上·墓地1张卡为对象才能发动。那张卡回到持有者卡组。
③：场上的这张卡被战斗·效果破坏送去墓地的场合才能发动。自己从卡组抽1张。",弹回卡组,抽卡,,,,,,,,,,,,,,
612115,剑斗兽 网斗,这张卡用名字带有「剑斗兽」的怪兽的效果特殊召唤成功时，可以选择对方墓地1张卡除外。这张卡进行战斗的战斗阶段结束时可以通过让这张卡回到卡组，从卡组把「剑斗兽 网斗」以外的1只名字带有「剑斗兽」的怪兽特殊召唤。,除外,特殊召唤,,,,,,,,,,,,,,
637216,怪兽快车,"这个卡名的效果1回合只能使用1次。
①：以自己场上1只表侧表示怪兽为对象才能发动。原本种族和那只表侧表示怪兽相同的1只怪兽从额外卡组送去墓地。这个回合，自己若非这个效果送去墓地的怪兽以及原本种族和那只怪兽相同的怪兽则不能特殊召唤。",,,,,,,,,,,,,,,,
645087,电子界工具,"这个卡名的②的效果1回合只能使用1次。
①：这张卡召唤成功时，以自己墓地1只2星以下的怪兽为对象才能发动。那只怪兽守备表示特殊召唤。这个效果特殊召唤的怪兽的效果无效化。
②：这张卡从场上送去墓地的场合才能发动。在自己场上把1只「工具衍生物」（电子界族·光·2星·攻/守0）特殊召唤。",墓地怪兽特殊召唤,衍生物特殊召唤,,,,,,,,,,,,,,
645088,工具衍生物,由「电子界工具」的效果特殊召唤。,,,,,,,,,,,,,,,,
645794,威风妖怪·蛤蟆,"←5 【灵摆】 5→
【怪兽效果】
「威风妖怪·蛤蟆」的①的怪兽效果1回合只能使用1次。
①：这张卡召唤·特殊召唤成功时才能发动。从卡组选1张「威风妖怪」魔法·陷阱卡在自己场上盖放。这个效果盖放的卡在这个回合不能发动。
②：这张卡只要在怪兽区域存在，不会成为对方的效果的对象，不会被对方的效果破坏。",,,,,,,,,,,,,,,,
652362,外星菊石,①：这张卡召唤成功时，以自己墓地1只4星以下的「外星」怪兽为对象才能发动。那只怪兽特殊召唤。这个效果特殊召唤的怪兽在结束阶段破坏。,特殊召唤,,,,,,,,,,,,,,,
674561,暗黑爆发,①：以自己墓地1只攻击力1500以下的暗属性怪兽为对象才能发动。那只暗属性怪兽加入手卡。,,,,,,,,,,,,,,,,
675319,十二阵·签订,"①：自己场上的「十二兽」怪兽的攻击力·守备力上升300。
②：只要这张卡在场地区域存在，对方不能选择除自己场上的攻击力最高的兽战士族怪兽以外的自己的兽战士族怪兽作为攻击对象。
③：1回合1次，自己场上的「十二兽」怪兽被效果破坏的场合，可以作为那1只「十二兽」怪兽的代替而把自己的手卡·场上1只怪兽破坏。",是否使用「十二阵·签订」的效果把其他怪兽作为代替破坏？,,,,,,,,,,,,,,,
691925,太阳交换,①：从手卡丢弃1只「光道」怪兽才能发动。自己从卡组抽2张。那之后，从自己卡组上面把2张卡送去墓地。,,,,,,,,,,,,,,,,
698785,雷霆终结龙,"8星通常怪兽×2
1回合1次，把这张卡1个超量素材取除才能发动。这张卡以外的场上存在的怪兽全部破坏。",破坏,,,,,,,,,,,,,,,
703897,自奏圣乐之阶,"这个卡名的①②的效果1回合只能有1次使用其中任意1个。
①：自己场上有「自奏圣乐」连接怪兽存在，怪兽的效果·魔法·陷阱卡发动时才能发动。那个发动无效并除外。
②：把墓地的这张卡除外才能发动。从卡组的怪兽以及除外的自己怪兽之中选1只机械族·暗属性怪兽加入手卡。这个效果发动的回合，自己不是机械族·暗属性怪兽不能特殊召唤。",,,,,,,,,,,,,,,,
706925,海皇的狙击兵,这张卡给与对方基本分战斗伤害时，可以从卡组把「海皇的狙击兵」以外的1只4星以下的名字带有「海皇」的海龙族怪兽特殊召唤。此外，这张卡为让水属性怪兽的效果发动而被送去墓地时，选择对方场上盖放的1张卡破坏。,特殊召唤,盖卡破坏,,,,,,,,,,,,,,
