id,ot,alias,setcode,type,atk,def,level,race,attribute,category
1929294,3,0,0,17,400,300,1,4,16,0
1942635,11,0,308,131074,0,0,0,0,0,65792
1945387,3,0,12296,97,2600,2100,8,1,4,256
1948619,3,0,8,67108897,1900,130,2,1,16,262144
1953925,3,0,7,33,1500,1500,5,32,1,33554433
1965724,3,0,0,131074,0,0,0,0,0,1056768
1966438,3,0,4400,33,3000,1500,8,8,32,262179
1969506,3,0,0,2,0,0,0,0,0,262144
1980574,3,0,0,4129,300,600,2,16384,8,262144
1984618,3,0,0,2,0,0,0,0,0,520
1992816,3,0,72,8388641,2800,3000,9,32,16,196608
1995985,3,0,4260071,33,1000,1000,3,1,16,262656
2009101,11,0,51,4129,1300,400,3,512,32,270336
2047519,3,0,0,4,0,0,0,0,0,2359296
2055403,3,0,76,4,0,0,0,0,0,32
2061963,3,0,72,8388641,2700,1200,4,2,16,2151678080
2067935,3,0,25,33,1800,1200,4,512,8,262660
2084239,3,0,0,524290,0,0,0,0,0,3153920
2088870,3,0,62,2097185,0,2500,7,524288,16,1056768
2089016,3,0,112,33,1000,1000,4,256,1,40968
2091298,3,0,83,8388641,2400,800,4,32,16,8192
2095764,3,0,158,33,0,2000,2,8388608,2,33816576
2099841,3,0,293,2,0,0,0,0,0,8192
2102065,3,0,0,33,1000,2600,7,262144,2,8192
2106266,3,0,0,524290,0,0,0,0,0,512
2111707,3,0,0,97,2200,1900,6,32,16,262145
2118022,3,0,0,17,1500,900,4,64,2,0
2122975,3,0,0,4,0,0,0,0,0,1024
2129638,3,0,221,97,3000,2500,10,8192,16,17072140
2130625,3,0,0,4,0,0,0,0,0,8388608
2134346,3,0,0,545,1700,1200,4,4,16,32800
2137678,3,0,24595,33,1600,1200,4,32,1,8192
2139640,1,0,0,33,0,0,3,4,2,8388608
2144946,11,0,263,524290,0,0,0,0,0,576
2148918,3,0,97,131076,0,0,0,0,0,8192
2158562,3,0,147,33,2300,1600,6,1,16,1
2191144,3,0,0,8388641,2600,2000,4,1,32,8192
2196767,3,0,0,33,500,1400,4,2,32,134217794
2203790,3,0,4109,8225,2300,1300,6,1,1,1
2204038,3,0,290,33,1800,2000,7,4,16,16785408
2204140,3,0,0,2,0,0,0,0,0,1311748
2220237,11,0,0,67108897,1000,32,1,16777216,16,0
2250266,3,0,38,33,1400,1000,4,32,1,16852992
2266498,3,0,262,4,0,0,0,0,0,262144
2273734,3,0,156,33,1700,1300,4,1,16,327680
2287848,3,0,262,4,0,0,0,0,0,1792
2295440,11,0,0,2,0,0,0,0,0,262656
2295831,3,0,0,2,0,0,0,0,0,512
2311603,3,0,0,17,1600,1500,4,32,1,0
2314238,3,0,0,2,0,0,0,0,0,1
2316186,3,0,0,33554465,2000,0,4,2,32,4194304
2322421,3,0,102,8225,3000,1500,8,1,16,1311232
2326738,3,0,0,33,500,600,3,16,1,2304
2333365,3,0,66,33,2000,2000,4,1,16,65536
2347477,11,0,0,33,300,0,1,16777216,32,272384
2356994,3,0,0,545,1900,1700,5,32768,32,16
2359348,3,0,242,4,0,0,0,0,0,1
2362787,3,0,0,2,0,0,0,0,0,2098176
2364438,3,0,289,2,0,0,0,0,0,520
2368215,11,0,4332,67108897,800,2,1,8,32,262656
2370081,3,0,0,262146,0,0,0,0,0,8192
2371506,3,0,115,1048580,0,0,0,0,0,4194307
2376209,3,0,212,4,1200,0,2,64,2,270340
2377034,3,0,44,4129,800,200,3,128,4,1028
2390019,3,0,15,2,0,0,0,0,0,292
2396042,3,0,0,16777249,1600,2600,84213764,65536,1,8192
2403771,3,0,194,8225,2300,2500,7,32,1,16777728
2407147,3,0,57,4129,100,200,1,128,4,8
2407234,3,0,9568328,8388641,2600,1400,4,1048576,16,2147483648
2411269,3,0,0,67108897,3000,45,4,8388608,1,12591104
2414168,3,0,0,33,0,2100,6,16777216,16,17047552
2420921,3,0,56,33,400,1400,3,4,16,8328
2434862,3,0,227,4,0,0,0,0,0,262144
2460565,3,0,0,33,1200,400,3,1,1,1376256
2461031,3,0,86,33,500,100,2,2048,32,8192
2468169,3,0,0,17,1100,900,3,2,32,0
2483611,3,0,0,17,1400,1200,4,64,2,0
2504891,3,0,0,65,2650,2250,7,2,32,0
2511717,3,0,61,33,200,2000,3,1,8,270336
2519690,3,0,0,97,2600,2100,7,8192,8,2576
2521011,3,0,121,33,2000,800,5,32768,4,50594304
2525268,3,0,110,33,1600,2000,4,2,16,83886080
2530830,3,0,15011963,8388641,3200,2800,9,8192,16,1074003971
2542230,3,0,0,4,0,0,0,0,0,2147745792
2547033,11,0,259,131076,0,0,0,0,0,2147483659
2561846,3,0,0,2,0,0,0,0,0,67108864
2563463,1,0,0,33,2000,2800,7,512,8,2147745792
2572890,3,0,208,1048580,0,0,0,0,0,2147483650
2584136,3,0,0,33,1600,800,4,131072,2,-2147475456
2602411,3,0,214,33,1200,900,3,2,32,1040
2609443,3,0,112,8388641,2300,2600,5,32,16,3221233664
2618045,3,0,85,33,1000,1000,4,1,16,8192
2619149,3,0,25,33,1600,1200,3,16384,1,262656
2625939,3,0,0,65538,0,0,0,0,0,786432
2625940,3,0,0,16401,0,0,1,16777216,16,0
2645637,3,0,289,67108897,2900,45,4,16,2,2147491840
2648201,3,0,4222,33,1000,1000,4,16384,16,270336
2656842,2,0,368,33,1000,300,3,2048,8,262144
2665273,11,0,308,8388641,-2,-2,9,524288,1,1073750272
2671330,3,0,0,33,1500,1200,4,65536,1,16
2694423,3,0,62,33,500,600,2,256,1,2050
2729285,3,0,169,33,700,300,1,4,1,1024
2732323,3,0,0,33,300,200,2,8192,4,1310720
2743001,3,0,234,8225,2800,2000,9,32,2,262148
2759860,3,0,209,131074,0,0,0,0,0,515
2766877,3,0,16,8388641,1500,1100,2,128,8,2129920
2772236,3,0,14,8225,1400,1200,6,4096,16,96
2779999,3,0,0,4,0,0,0,0,0,2
2783661,3,0,0,65538,0,0,0,0,0,65544
2792265,3,0,0,33,700,500,3,64,16,131072
2801664,3,0,311,33,2700,900,7,32768,8,303104
2810642,3,0,4289,33558561,700,0,1,1048576,16,262146
2819435,3,22702055,0,524290,0,0,0,0,0,786944
2819436,3,0,250,16401,2000,2000,8,8388608,2,0
2830619,3,0,0,17,400,450,2,128,1,0
2830693,3,0,164,33,100,100,1,8,16,327680
2833249,3,0,0,4,0,0,0,0,0,1048576
2834264,2,0,368,67108897,1000,130,2,2048,1,262144
2843014,3,0,120,33,1000,100,2,131072,2,1310728
2851070,11,0,0,33,1700,1000,4,32,16,4194304
2857636,11,0,274,67108897,1900,160,2,8,4,50331905
2863439,3,0,0,17,1100,1400,4,512,16,0
2881864,11,0,308,33,3100,200,9,32768,4,16777216
2896663,3,0,4222,8388641,3000,1200,5,8192,32,1074012672
2903036,3,0,0,2,0,0,0,0,0,262144
2906250,1,0,0,17,1300,1200,4,524288,2,0
2924048,3,0,17,1048580,0,0,0,0,0,-2147483645
2926176,3,0,0,1048580,0,0,0,0,0,2147483649
2930675,11,0,254,131074,0,0,0,0,0,2147483664
2948263,3,0,89,33554465,-2,1500,4,256,1,2147753984
2956282,11,0,42,8225,2500,1800,6,8192,1,2147483649
2957055,1,0,0,17,900,900,3,8192,8,0
2964201,3,0,0,17,2200,2600,7,8192,4,0
2971090,1,0,0,17,1800,1500,5,4,16,0
2971446,3,0,0,4,0,0,0,0,0,512
2978414,3,0,72,8388641,3000,3000,8,8192,16,266240
2980764,3,0,0,33,0,0,1,4,16,18939904
2986553,3,0,0,4129,1000,1000,3,1,32,327680
2992036,3,0,20499,4,0,0,0,0,0,4457492
2994495,3,0,0,4,0,0,0,0,0,2
3019642,3,0,16531,33,800,800,4,32,32,22028288
3026686,3,0,290,33,1000,1600,4,4,16,8704
3027001,3,0,0,4,0,0,0,0,0,16777216
3030892,3,0,0,33,700,300,2,16384,1,262656
3040496,3,0,207,8225,3000,2500,8,8192,32,262148
3055837,3,0,0,1048580,0,0,0,0,0,64
3056267,3,0,0,2097185,1350,1700,4,1,1,4096
3064425,3,0,4250,33,1000,1000,3,32,1,0
3070049,3,0,0,33,1400,900,4,8192,2,67108864
3072077,3,0,0,33,1000,1600,4,16,32,16
3072808,3,0,51,4129,0,2300,5,512,32,263168
3078380,1,0,0,33,2800,1800,8,8192,16,268697600
3078576,3,0,0,545,200,100,2,8,8,32
3096468,3,0,0,4129,500,1700,3,16,32,0
3105404,3,0,0,4,0,0,0,0,0,4195328
3111207,11,0,0,4129,0,2600,5,262144,2,262148
3113667,3,0,0,524290,0,0,0,0,0,17047552
3113836,3,0,4167,97,2300,1400,5,4,1,0
3117804,3,0,154,33,1000,3500,8,32,1,2048
3129635,3,0,0,131076,1800,1000,4,256,32,262144
3134241,3,0,0,17,1500,800,4,2048,8,0
3134857,11,0,283,67108897,3000,387,4,32,32,2164270112
3136426,3,0,0,131074,0,0,0,0,0,2048
3146695,3,0,0,4,0,0,0,0,0,1048580
3149764,3,0,0,1048580,0,0,0,0,0,-2147483647
3160805,3,0,0,131076,0,0,0,0,0,1552
3167573,3,0,131,33,2800,2600,7,1,1,262146
3170832,3,0,0,17,1450,1000,4,512,8,0
3171055,3,0,0,4,0,0,0,0,0,129
3204467,3,0,62,33,1000,1600,4,524288,16,8193
3211439,3,0,0,4,0,0,0,0,0,8
3233859,11,0,0,4129,600,0,3,1048576,1,262146
3244563,3,0,0,4,0,0,0,0,0,8192
3280747,3,0,0,4,0,0,0,0,0,134217992
3283679,3,0,12366,33,1200,500,3,524288,4,262152
3285551,1,0,0,2,0,0,0,0,0,524800
3285552,1,0,0,16401,2000,2000,4,4,1,0
3292267,3,0,105,8388641,3000,2400,8,8192,16,3221225475
3298689,3,0,282787989,65538,0,0,0,0,0,1074003968
3300267,3,0,105,33,2200,1000,6,8192,16,1310721
3322931,3,0,0,8225,2500,0,9,16384,8,8224
3355732,1,0,364,33,1500,3000,10,64,2,270336
3356494,11,0,4219,67108897,2000,5,2,8192,16,1026
3366982,3,0,0,97,1700,1500,5,8192,8,131072
3370104,11,0,147,33,1200,1600,4,32,4,2147483904
3381441,3,0,46,33,1000,1500,3,2,32,8192
3395226,3,0,4251,33,2600,2000,8,4,16,262144
3405259,3,0,0,1057,1200,2000,4,32,16,50593792
3422200,3,0,234,33,2000,1500,5,32,2,262147
3428069,3,0,14090454,33,2600,2300,7,1,1,1052674
3429238,3,0,102,8225,2400,2000,6,1,1,394252
3431737,11,0,0,33,1900,1200,4,32768,1,512
3486020,3,0,289,8225,2900,2400,9,16,4,262150
3492538,3,0,0,262146,0,0,0,0,0,8192
3493058,3,0,0,65538,0,0,0,0,0,138412033
3493978,3,0,0,33,1100,1200,3,524288,2,262144
3507053,3,0,331,67108897,0,256,1,32,4,106496
3510565,3,0,0,33,700,1700,3,512,32,4196352
3534077,11,0,0,33,1600,1200,4,32768,4,262144
3536537,3,0,10,33,1850,850,4,8192,32,2
3544583,3,0,0,4161,0,2100,2,4,32,0
3549275,3,0,0,2097185,200,300,3,256,16,138412032
3557275,3,0,128,17,0,1000,1,8,16,0
3560069,3,0,0,33,0,0,1,16777216,16,262400
3567660,3,0,0,2,0,0,0,0,0,8
3573512,3,0,0,17,500,1200,3,1,1,0
3576031,3,0,0,524290,0,0,0,0,0,8448
3580032,3,0,0,33,1400,500,3,2,32,1610874880
3603242,3,0,0,33,1600,1000,4,32,1,2
3606209,1,0,0,17,1100,1000,4,32768,1,0
3606728,3,0,84,33,1000,800,3,2,32,1073750016
3611830,3,0,19529838,16777249,2800,1700,134742023,2,32,2264924691
3627449,3,0,82,129,2050,2500,7,1,16,0
3629090,3,0,8339,161,1600,2000,6,4,16,8208
3642509,3,0,12296,97,2800,2200,8,1,8,8192
3643300,3,0,0,33,1850,1600,5,1,2,33554432
3648368,3,0,1,33,1400,100,3,32,32,2048
3657444,11,0,147,33,0,0,1,32,16,1316
3659803,11,0,70,2,0,0,0,0,0,271581188
3679218,11,0,274,67108897,1000,2,1,8,2,270592
3682106,3,0,0,2,0,0,0,0,0,3
3693034,3,0,17,4,0,0,0,0,0,2147485700
3701074,3,0,0,131076,0,0,0,0,0,8388608
3715284,3,0,24595,33,1200,1800,4,32,16,4456450
3717252,11,0,157,2097185,2200,1700,5,2,32,256
3732747,1,0,0,17,900,700,3,64,2,0
3734202,3,0,42,131076,0,0,0,0,0,0
3752422,3,0,159,16777249,100,2600,16842758,4,16,0
3758046,3,0,4271,8388641,2400,1200,4,8,2,262656
3773196,3,0,0,33,800,1200,2,32,32,263168
3775068,3,0,227,33554465,0,0,4,4,16,4466176
3779493,2,0,0,8225,2300,1400,6,2,16,262148
3779662,3,0,25,97,1000,2800,8,32768,32,262144
3784434,3,0,0,33,1500,1500,3,32768,1,8192
3790062,3,0,7143496,8388641,1300,0,2,8,32,2151677952
3792766,11,0,251,67108897,2200,133,3,4,16,9216
3797883,3,0,0,17,2000,2300,7,32,32,0
3810071,3,0,0,33,1300,1000,3,256,1,0
3814632,3,0,0,8388641,3400,3000,10,32,8,4194371
3819470,3,0,0,1048580,0,0,0,0,0,2147483649
3825890,3,0,46,33,2000,1800,8,2,32,16785416
3828844,11,0,321,8388641,2000,2000,4,1024,2,1074005008
3841833,3,0,169,33,1200,800,3,4,1,1536
3846170,3,0,17,33,1400,200,4,32,1,264192
3868277,3,0,0,4,0,0,0,0,0,1312
3875465,3,0,331,524290,0,0,0,0,0,1552
3891471,3,0,0,131076,0,0,0,0,0,5505024
3897065,3,0,4118,97,3600,3000,9,32,1,57344
3900605,3,0,0,2097185,600,500,3,256,1,257
3909436,3,0,262,161,2700,0,7,16,32,512
3912064,3,0,0,33,2000,2000,8,64,2,43008
3918345,3,0,0,2081,700,1200,3,64,2,0
3954901,3,0,0,33,2800,2800,8,8192,16,8192
3966653,3,0,230,8225,2000,2000,6,1,32,16388
3972721,3,0,0,65538,0,0,0,0,0,256
3985011,1,0,0,17,600,800,2,2,16,0
3987233,11,0,0,67108897,1400,5,2,16384,1,8208
3989465,3,0,57,8388641,1800,1400,3,1,4,8192
4008212,3,0,0,4,0,0,0,0,0,514
4017398,3,0,126,2,0,0,0,0,0,263188
4019153,3,0,290062408,8388641,1000,100,1,32,16,1090527232
4022819,3,0,105,33,1900,1200,5,8192,16,270336
4031928,3,0,0,2,0,0,0,0,0,4096
4035199,3,0,0,17,1200,1700,5,32,32,0
4041838,3,0,43,33,1800,1000,4,1,16,2
4042268,3,0,0,17,1100,2000,4,64,2,0
4055337,11,0,17957147,33,100,2000,7,32,32,16785416
4058065,11,0,10,33,1850,950,4,65536,32,8192
4059313,3,0,185,65538,0,0,0,0,0,0
4064256,3,0,0,524290,0,0,0,0,0,1048576
4068622,3,0,51,33554465,-2,0,10,512,16,270340
4072687,3,0,0,65538,0,0,0,0,0,262144
4081094,3,0,0,131074,0,0,0,0,0,0
4081665,3,0,198,33,2200,0,6,2,1,4456448
4081825,3,0,207,4,0,0,0,0,0,2147747840
4103668,3,0,289,8225,2600,1500,7,16,8,262149
4130270,3,0,0,33,1200,2000,4,1,1,0
4141820,3,0,109,33,400,300,3,8,32,64
4145852,3,0,241,33,400,2000,4,32768,1,3222536192
4148264,3,0,0,17,2000,0,4,2048,1,0
4149689,3,0,0,131076,0,0,0,0,0,2
4162088,3,0,147,33554465,2400,1800,7,32,16,2
4167084,3,0,239,97,4000,4000,12,4,32,33816579
4168871,3,0,0,2,0,0,0,0,0,256
4178474,3,0,0,4,0,0,0,0,0,3
